priority,organization,partner_type,public_contact,phone,email,source_url,fit,first_ask,tracked_link,status,last_contacted,next_action,notes
"A","Asian Tigers Thailand","Corporate relocation","Official corporate/contact page","+66 2 687 7800","inbound@asiantigers-thailand.com","https://asiantigersgroup.com/corporates/","Inbound corporate assignments and relocation support","Ask whether they accept a Bangkok housing referral partner for confirmed 12-month briefs","https://lilith-renter-leads.yacht369.chatgpt.site?utm_source=partner_outreach&utm_campaign=premium_12m&utm_content=asian_tigers","Draft ready - not sent","","Add sender identity; review and authorize send","Do not send client data before consent and partner terms"
"A","Pacific Orientation Relocation","Relocation services","Company contact listed by International School Bangkok","+66 2 653 0805 / +66 81 824 8384","pors@pacificorientation.com","https://www.isb.ac.th/admissions/relocations-housing-pre-schools","Relocation partner serving globally mobile families","Ask whether they accept referral collaboration for family and executive rental briefs","https://lilith-renter-leads.yacht369.chatgpt.site?utm_source=partner_outreach&utm_campaign=premium_12m&utm_content=pacific_orientation","Draft ready - not sent","","Add sender identity; review and authorize send","Use the public business contact only"
"A","Santa Fe Relocation Thailand","Corporate relocation","Official Bangkok office page","+66 65 504 8899","thailand@santaferelo.com","https://www.santaferelo.com/contact/our-offices/international-moving-bangkok/","Corporate relocation enquiries and international moves","Ask whether their Bangkok team uses external housing referral partners","https://lilith-renter-leads.yacht369.chatgpt.site?utm_source=partner_outreach&utm_campaign=premium_12m&utm_content=santa_fe","Draft ready - not sent","","Add sender identity; review and authorize send","Address the Thailand team rather than an individual"
"A","Thai Relo Services","Relocation and destination services","Official contact page","+66 2 687 7915 / +66 62 294 5392","enquiry@thaireloservices.com","https://www.thaireloservices.com/contact-us/","LTR visa and end-to-end relocation audience","Ask to add a premium 12-month Bangkok housing referral option to destination services","https://lilith-renter-leads.yacht369.chatgpt.site?utm_source=partner_outreach&utm_campaign=premium_12m&utm_content=thai_relo","Draft ready - not sent","","Add sender identity; review and authorize send","No claim of BOI affiliation by Lilith"
"A","United Relocations Thailand","International relocation","Official contact page","+66 63 217 9297","","https://www.unitedreloth.com/contacts/","International and corporate relocation into Thailand","Ask for the correct business-development contact for housing referral collaboration","https://lilith-renter-leads.yacht369.chatgpt.site?utm_source=partner_outreach&utm_campaign=premium_12m&utm_content=united_relocations","Contact-form draft ready - not submitted","","Add sender identity; review and authorize submission","Do not use a personal mobile for bulk messaging"
"B","Nichada Thani Rental Office","Family housing inventory","Public rental contact listed by International School Bangkok","+66 2 960 4329-31","rental@nichada.com","https://www.isb.ac.th/admissions/relocations-housing-pre-schools","Homes and apartments near an international-school anchor","Ask about co-broke process and current 12-month inventory in the target budget","https://lilith-renter-leads.yacht369.chatgpt.site?utm_source=partner_outreach&utm_campaign=premium_12m&utm_content=nichada","Ready - approval required","","Request inventory and co-broke terms","Verify price and availability on the day of each shortlist"
"B","Mansions in the Park","Family housing inventory","Official website and public business contact","+66 2 960 3600-3","manager@mansionsinthepark.com.th","https://www.mansionsinthepark.co.th/","Apartments and townhouses near the ISB family corridor","Ask about 12-month availability and agent/referral terms","https://lilith-renter-leads.yacht369.chatgpt.site?utm_source=partner_outreach&utm_campaign=premium_12m&utm_content=mansions_in_the_park","Ready - approval required","","Request current inventory","Confirm pet and company-lease rules before presenting"
"B","HomeConnect Thailand","Residential leasing and relocation","Company contact listed by International School Bangkok","","info@homeconnectthailand.com","https://www.homeconnect.co.th/about/","Residential rental and relocation network","Ask whether they accept co-broke briefs for THB 50K-250K 12-month rentals","https://lilith-renter-leads.yacht369.chatgpt.site?utm_source=partner_outreach&utm_campaign=premium_12m&utm_content=homeconnect","Ready - approval required","","Send one co-broke introduction","Treat as a peer brokerage and agree lead ownership first"
"B","BAAN LYY","Corporate housing and rental inventory","Official corporate housing page","","","https://baanlyy.com/corporate-housing","Corporate housing for HR and mobility teams","Ask for the correct partnerships contact and co-broke policy","https://lilith-renter-leads.yacht369.chatgpt.site?utm_source=partner_outreach&utm_campaign=premium_12m&utm_content=baan_lyy","Ready - approval required","","Use official contact form","Treat as a peer platform; do not imply an existing partnership"
"B","National Corporate Housing Thailand","Corporate housing","Official Thailand corporate housing page","","","https://www.nationalcorporatehousing.com/furnished-housing/corporate-housing/apac/thailand","Executive housing for corporate assignments in Bangkok","Ask whether the Thailand team accepts local long-stay housing referrals","https://lilith-renter-leads.yacht369.chatgpt.site?utm_source=partner_outreach&utm_campaign=premium_12m&utm_content=national_corporate_housing","Ready - approval required","","Use official contact route","Clarify 12-month lease scope before sharing a brief"
